codepoint,name
E05F,LATIN CAPITAL LETTER C WITH CARON AND LEFT HALF RING ABOVE
E060,LATIN CAPITAL LETTER C WITH CARON AND LEFT HALF RING ABOVE RIGHT
E061,LATIN CAPITAL LETTER C WITH CARON AND ACUTE ABOVE RIGHT
E062,LATIN CAPITAL LETTER C WITH CARON AND VERTICAL LINE ABOVE RIGHT
E063,LATIN CAPITAL LETTER C WITH GREEK PSILI AND OXIA
E064,LATIN CAPITAL LETTER C WITH REVERSED COMMA ABOVE
E065,LATIN CAPITAL LETTER C WITH COMMA ABOVE RIGHT
E066,LATIN CAPITAL LETTER C WITH DOT BELOW
E067,LATIN CAPITAL LETTER C WITH RING BELOW
E068,LATIN CAPITAL LETTER C WITH COMMA BELOW
E069,LATIN CAPITAL LETTER C WITH CARON BELOW
E06A,LATIN CAPITAL LETTER C WITH CIRCUMFLEX BELOW
E06B,LATIN CAPITAL LETTER C WITH BREVE BELOW
E06C,LATIN CAPITAL LETTER C WITH INVERTED BREVE BELOW
E06D,LATIN CAPITAL LETTER C WITH LONG SOLIDUS OVERLAY
E06E,LATIN CAPITAL LETTER C WITH REVERSED COMMA ABOVE RIGHT
E06F,LATIN CAPITAL LETTER C WITH TURNED COMMA ABOVE RIGHT
E070,LATIN CAPITAL LETTER C WITH LEFT HALF RING ABOVE
E071,LATIN CAPITAL LETTER C WITH LEFT HALF RING ABOVE RIGHT
E072,LATIN CAPITAL LETTER C WITH ACUTE ABOVE RIGHT
E073,LATIN CAPITAL LETTER C WITH VERTICAL LINE ABOVE RIGHT
E074,LATIN CAPITAL LETTER CH WITH LOW LINE
E075,LATIN CAPITAL LETTER C WITH SMALL LETTER H AND LOW LINE
E077,LATIN CAPITAL LETTER D WITH ACUTE
E078,LATIN CAPITAL LETTER D WITH ACUTE AND DOT BELOW
E079,LATIN CAPITAL LETTER D WITH MACRON ABOVE
E07A,LATIN CAPITAL LETTER D WITH RING ABOVE
E07B,LATIN CAPITAL LETTER D WITH CARON AND ACUTE ABOVE RIGHT
E07C,LATIN CAPITAL LETTER D WITH INVERTED BREVE
E07D,LATIN CAPITAL LETTER D WITH COMMA ABOVE RIGHT
E07E,LATIN CAPITAL LETTER D WITH PALATALIZED HOOK BELOW
E07F,LATIN CAPITAL LETTER D WITH DIAERESIS BELOW
E080,LATIN CAPITAL LETTER D WITH RING BELOW
E081,LATIN CAPITAL LETTER D WITH COMMA BELOW
E082,LATIN CAPITAL LETTER D WITH BRIDGE BELOW
E083,LATIN CAPITAL LETTER D WITH CARON BELOW
E084,LATIN CAPITAL LETTER D WITH BREVE BELOW
E085,LATIN CAPITAL LETTER D WITH TILDE OVERLAY
E086,LATIN CAPITAL LETTER D WITH LONG STROKE OVERLAY
E087,LATIN CAPITAL LETTER D WITH SUPERSCRIPT ONE
E088,LATIN CAPITAL LETTER D WITH SUPERSCRIPT TWO
E089,LATIN CAPITAL LETTER D WITH ACUTE ABOVE RIGHT
E08A,LATIN CAPITAL LETTER DH WITH LOW LINE
E08B,LATIN CAPITAL LETTER DJ WITH LOW LINE
E08C,LATIN CAPITAL LETTER DZ WITH ACUTE AND LOW LINE
E08D,LATIN CAPITAL LETTER D WITH SMALL LETTER H AND LOW LINE
E08E,LATIN CAPITAL LETTER D WITH SMALL LETTER J AND LOW LINE
E08F,LATIN CAPITAL LETTER ETH WITH DOT BELOW
E090,LATIN CAPITAL LETTER D WITH STROKE AND MACRON BELOW
E093,LATIN CAPITAL LETTER E WITH GRAVE AND DOT BELOW
E094,LATIN CAPITAL LETTER E WITH GRAVE AND OGONEK
E095,LATIN CAPITAL LETTER E WITH GRAVE AND RIGHT HALF RING BELOW
E096,LATIN CAPITAL LETTER E WITH GRAVE AND INVERTED OGONEK
E097,LATIN CAPITAL LETTER E WITH GRAVE AND RIGHT ARROWHEAD
E098,LATIN CAPITAL LETTER E WITH ACUTE AND DOT BELOW
E099,LATIN CAPITAL LETTER E WITH ACUTE ABOVE AND OGONEK
E09A,LATIN CAPITAL LETTER E WITH ACUTE AND RIGHT HALF RING BELOW
E09B,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND GRAVE
E09C,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND ACUTE
E09D,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND MACRON
E09E,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND CARON
E09F,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND OGONEK
E0A0,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND RIGHT HALF RING BELOW
E0A1,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND INVERTED OGONEK
E0A2,LATIN CAPITAL LETTER E WITH CIRCUMFLEX AND RIGHT ARROWHEAD
E0A3,LATIN CAPITAL LETTER E WITH TILDE AND ACUTE ABOVE
E0A4,LATIN CAPITAL LETTER E WITH TILDE AND ACUTE AND OGONEK
E0A5,LATIN CAPITAL LETTER E WITH TILDE ABOVE AND DOT BELOW
E0A6,LATIN CAPITAL LETTER E WITH TILDE ABOVE AND COMMA BELOW
E0A7,LATIN CAPITAL LETTER E WITH TILDE ABOVE AND OGONEK
E0A8,LATIN CAPITAL LETTER E WITH TILDE AND RIGHT HALF RING BELOW
E0A9,LATIN CAPITAL LETTER E WITH TILDE AND INVERTED OGONEK
E0AA,LATIN CAPITAL LETTER E WITH TILDE AND RIGHT ARROWHEAD
E0AB,LATIN CAPITAL LETTER E WITH MACRON AND GRAVE AND DOT BELOW
E0AC,LATIN CAPITAL LETTER E WITH MACRON AND GRAVE AND OGONEK
E0AD,LATIN CAPITAL LETTER E WITH MACRON AND GRAVE AND RIGHT HALF RING BELOW
E0AE,LATIN CAPITAL LETTER E WITH MACRON AND GRAVE AND INVERTED OGONEK
E0AF,LATIN CAPITAL LETTER E WITH MACRON AND GRAVE AND RIGHT ARROWHEAD
E0B0,LATIN CAPITAL LETTER E WITH MACRON AND ACUTE AND DOT BELOW
E0B1,LATIN CAPITAL LETTER E WITH MACRON AND ACUTE ABOVE AND OGONEK
E0B2,LATIN CAPITAL LETTER E WITH MACRON AND CIRCUMFLEX
