codepoint,name
F3A0,COMBINING CYRILLIC LETTER IOTIFIED YAT
F3A1,COMBINING CYRILLIC LETTER REVERSED YU
F3A2,CYRILLIC CAPITAL LETTER YUK
F3A3,CYRILLIC SMALL LETTER YUK
F3A4,COMBINING CYRILLIC LETTER YUK
F3A5,CYRILLIC CAPITAL LETTER SEMIIOTIFIED A
F3A6,CYRILLIC SMALL LETTER SEMIIOTIFIED A
F3A7,COMBINING CYRILLIC LETTER SEMIIOTIFIED A
F3A8,COMBINING CYRILLIC LETTER IOTIFIED E
F3A9,CYRILLIC CAPITAL LETTER REVERSED IOTIFIED E
F3AA,CYRILLIC SMALL LETTER REVERSED IOTIFIED E
F3AB,COMBINING CYRILLIC LETTER REVERSED IOTIFIED E
F3AC,CYRILLIC CAPITAL LETTER REARRANGED IOTIFIED E
F3AD,CYRILLIC SMALL LETTER REARRANGED IOTIFIED E
F3AE,COMBINING CYRILLIC LETTER REARRANGED IOTIFIED E
F3AF,COMBINING CYRILLIC LETTER CLOSED LITTLE YUS
F3B0,CYRILLIC CAPITAL LETTER CLOSED LITTLE YUS WITH VERTICAL STROKE
F3B1,CYRILLIC SMALL LETTER CLOSED LITTLE YUS WITH VERTICAL STROKE
F3B2,COMBINING CYRILLIC LETTER CLOSED LITTLE YUS WITH VERTICAL STROKE
F3B3,CYRILLIC CAPITAL LETTER LITTLE YUS WITH TRIANGULAR FOOT
F3B4,CYRILLIC SMALL LETTER LITTLE YUS WITH TRIANGULAR FOOT
F3B5,COMBINING CYRILLIC LETTER LITTLE YUS WITH TRIANGULAR FOOT
F3B6,CYRILLIC CAPITAL LETTER THREE-STROKE LITTLE YUS
F3B7,CYRILLIC SMALL LETTER THREE-STROKE LITTLE YUS
F3B8,COMBINING CYRILLIC LETTER THREE- STROKE LITTLE YUS
F3B9,COMBINING CYRILLIC LETTER YA
F3BA,COMBINING CYRILLIC LETTER IOTIFIED LITTLE YUS
F3BB,COMBINING CYRILLIC LETTER IOTIFIED CLOSED LITTLE YUS
F3BC,CYRILLIC CAPITAL LETTER IOTIFIED CLOSED LITTLE YUS WITH VERTICAL STROKE
F3BD,CYRILLIC SMALL LETTER IOTIFIED CLOSED LITTLE YUS WITH VERTICAL STROKE
F3BE,COMBINING CYRILLIC LETTER IOTIFIED CLO- SED LITTLE YUS WITH VERTICAL STROKE
F3BF,CYRILLIC CAPITAL LETTER HOLLOW BIG YUS
F3C0,CYRILLIC SMALL LETTER HOLLOW BIG YUS
F3C1,COMBINING CYRILLIC LETTER HOLLOW BIG YUS
F3C2,CYRILLIC CAPITAL LETTER CLOSED HOLLOW BIG YUS
F3C3,CYRILLIC SMALL LETTER CLOSED HOLLOW BIG YUS
F3C4,COMBINING CYRILLIC LETTER CLOSED HOLLOW BIG YUS
F3C5,COMBINING CYRILLIC LETTER BLENDED YUS
F3C6,COMBINING CYRILLIC LETTER YN
F3C7,CYRILLIC CAPITAL LETTER REVERSED IOTIFIED BIG YUS
F3C8,CYRILLIC SMALL LETTER REVERSED IOTIFIED BIG YUS
F3C9,COMBINING CYRILLIC LETTER REVERSED IOTIFIED BIG YUS
F3CA,COMBINING CYRILLIC LETTER KSI
F3CB,COMBINING CYRILLIC LETTER PSI
F3CC,CYRILLIC CAPITAL LETTER IK
F3CD,CYRILLIC SMALL LETTER IK
F3CE,COMBINING CYRILLIC LETTER IK
F3CF,COMBINING CYRILLIC LETTER IZHITSA
F3D0,COMBINING CYRILLIC LETTER IZHITSA WITH DOUBLE GRAVE AKCENT
EF60,COMBINING CYRILLIC INVERTED TITLO
EF61,COMBINING CYRILLIC ANGULAR TITLO
EF62,COMBINING CYRILLIC REVERSED PAYEROK
EF63,COMBINING INVERTED KREMASTY
EF64,COMBINING REVERSED KREMASTY
EF65,COMBINING CYRILLIC DOUBLE PSILI PNEUMATA
EF66,COMBINING CYRILLIC DOUBLE DASIA PNEUMATA
EF67,DAMAGE SIGN
EF68,LOST SIGN
EF70,REVERSE TILDE
EF71,SLAVONIC KOPYE
EF72,MIDDLE COMMA
EF73,REVERSED THREE DOT PUNCTUATION
EF74,LEFT MARGINALIA
EF75,RIGHT MARGINALIA
EF76,TELIA
