codepoint,entity,name,versions
EED1,gglig,LATIN SMALL LIGATURE GG,MUFI: 3.0
EED2,gdlig,LATIN SMALL LIGATURE GD,MUFI: 3.0
EED3,gdrotlig,LATIN SMALL LIGATURE G D ROTUNDA,MUFI: 3.0
EED4,gethlig,LATIN SMALL LIGATURE G ETH,MUFI: 3.0
EED5,nscapslonglig,LATIN SMALL LIGATURE SMALL CAPITAL N LONG S,MUFI: 3.0
EED6,pplig,LATIN SMALL LIGATURE PP,MUFI: 3.0
EED7,ppflourlig,LATIN SMALL LIGATURE PP WITH FLOURISH,MUFI: 3.0
EED8,trlig,LATIN SMALL LIGATURE TR,MUFI: 3.0
EED9,ttlig,LATIN SMALL LIGATURE TT,MUFI: 3.0
EEDA,trottrotlig,LATIN SMALL LIGATURE T ROTUNDA T ROTUNDA,MUFI: 3.0
EEDB,tylig,LATIN SMALL LIGATURE TY,MUFI: 3.0
EEDC,tzlig,LATIN SMALL LIGATURE TZ,MUFI: 3.0
EEDD,PPlig,LATIN CAPITAL LIGATURE PP,MUFI: 3.0
EEDE,golig,LATIN SMALL LIGATURE GO,MUFI: 3.0
EEDF,slongenl,LATIN ENLARGED LETTER SMALL LONG S,MUFI: 3.0
EEE0,aenl,LATIN ENLARGED LETTER SMALL A,MUFI: 3.0
EEE1,benl,LATIN ENLARGED LETTER SMALL B,MUFI: 3.0
EEE2,cenl,LATIN ENLARGED LETTER SMALL C,MUFI: 3.0
EEE3,denl,LATIN ENLARGED LETTER SMALL D,MUFI: 3.0
EEE4,drotenl,LATIN ENLARGED LETTER D ROTUNDA,MUFI: 3.0
EEE5,ethenl,LATIN ENLARGED LETTER SMALL ETH,MUFI: 3.0
EEE6,eenl,LATIN ENLARGED LETTER SMALL E,MUFI: 3.0
EEE7,fenl,LATIN ENLARGED LETTER SMALL F,MUFI: 3.0
EEE8,genl,LATIN ENLARGED LETTER SMALL G,MUFI: 3.0
EEE9,henl,LATIN ENLARGED LETTER SMALL H,MUFI: 3.0
EEEA,ienl,LATIN ENLARGED LETTER SMALL I,MUFI: 3.0
EEEB,jenl,LATIN ENLARGED LETTER SMALL J,MUFI: 3.0
EEEC,kenl,LATIN ENLARGED LETTER SMALL K,MUFI: 3.0
EEED,lenl,LATIN ENLARGED LETTER SMALL L,MUFI: 3.0
EEEE,menl,LATIN ENLARGED LETTER SMALL M,MUFI: 3.0
EEEF,nenl,LATIN ENLARGED LETTER SMALL N,MUFI: 3.0
EEF0,oenl,LATIN ENLARGED LETTER SMALL O,MUFI: 3.0
EEF1,penl,LATIN ENLARGED LETTER SMALL P,MUFI: 3.0
EEF2,qenl,LATIN ENLARGED LETTER SMALL Q,MUFI: 3.0
EEF3,renl,LATIN ENLARGED LETTER SMALL R,MUFI: 3.0
EEF4,senl,LATIN ENLARGED LETTER SMALL S,MUFI: 3.0
EEF5,tenl,LATIN ENLARGED LETTER SMALL T,MUFI: 3.0
EEF6,thornenl,LATIN ENLARGED LETTER SMALL THORN,MUFI: 3.0
EEF7,uenl,LATIN ENLARGED LETTER SMALL U,MUFI: 3.0
EEF8,venl,LATIN ENLARGED LETTER SMALL V,MUFI: 3.0
EEF9,wenl,LATIN ENLARGED LETTER SMALL W,MUFI: 3.0
EEFA,xenl,LATIN ENLARGED LETTER SMALL X,MUFI: 3.0
EEFB,yenl,LATIN ENLARGED LETTER SMALL Y,MUFI: 3.0
EEFC,zenl,LATIN ENLARGED LETTER SMALL Z,MUFI: 3.0
EEFD,inodotenl,LATIN ENLARGED LETTER SMALL DOTLESS I,MUFI: 3.0
EEFE,jnodotenl,LATIN ENLARGED LETTER SMALL DOTLESS J,MUFI: 3.0
EEFF,finsenl,LATIN ENLARGED LETTER SMALL INSULAR F,MUFI: 3.0
EF0C,qscap,LATIN LETTER SMALL CAPITAL Q,MUFI: 3.0
EF11,xscap,LATIN LETTER SMALL CAPITAL X,MUFI: 3.0
EF15,thornscap,LATIN LETTER SMALL CAPITAL THORN,MUFI: 3.0
EF20,gscapdot,LATIN LETTER SMALL CAPITAL G WITH DOT ABOVE,MUFI: 3.0
EF21,nscapdot,LATIN LETTER SMALL CAPITAL N WITH DOT ABOVE,MUFI: 3.0
EF22,rscapdot,LATIN LETTER SMALL CAPITAL R WITH DOT ABOVE,MUFI: 3.0
EF23,sscapdot,LATIN LETTER SMALL CAPITAL S WITH DOT ABOVE,MUFI: 3.0
EF24,tscapdot,LATIN LETTER SMALL CAPITAL T WITH DOT ABOVE,MUFI: 3.0
EF25,bscapdotbl,LATIN LETTER SMALL CAPITAL B WITH DOT BELOW,MUFI: 3.0
EF26,dscapdotbl,LATIN LETTER SMALL CAPITAL D WITH DOT BELOW,MUFI: 3.0
EF27,gscapdotbl,LATIN LETTER SMALL CAPITAL G WITH DOT BELOW,MUFI: 3.0
EF28,lscapdotbl,LATIN LETTER SMALL CAPITAL L WITH DOT BELOW,MUFI: 3.0
EF29,mscapdotbl,LATIN LETTER SMALL CAPITAL M WITH DOT BELOW,MUFI: 3.0
EF2A,nscapdotbl,LATIN LETTER SMALL CAPITAL N WITH DOT BELOW,MUFI: 3.0
EF2B,rscapdotbl,LATIN LETTER SMALL CAPITAL R WITH DOT BELOW,MUFI: 3.0
EF2C,sscapdotbl,LATIN LETTER SMALL CAPITAL S WITH DOT BELOW,MUFI: 3.0
EF2D,tscapdotbl,LATIN LETTER SMALL CAPITAL T WITH DOT BELOW,MUFI: 3.0
EFA0,aacloselig,LATIN SMALL LIGATURE AA CLOSED FORM,MUFI: 3.0
EFA1,anecklesselig,LATIN SMALL LIGATURE NECKLESS A E,MUFI: 3.0
EFA2,anecklessvlig,LATIN SMALL LIGATURE NECKLESS A V,MUFI: 3.0
EFA3,aflig,LATIN SMALL LIGATURE AF,MUFI: 3.0
EFA4,afinslig,LATIN SMALL LIGATURE A INSULAR F,MUFI: 3.0
EFA5,aglig,LATIN SMALL LIGATURE AG,MUFI: 3.0
EFA6,allig,LATIN SMALL LIGATURE AL,MUFI: 3.0
EFA7,anlig,LATIN SMALL LIGATURE AN,MUFI: 3.0
EFA8,anscaplig,LATIN SMALL LIGATURE A SMALL CAPITAL N,MUFI: 3.0
EFA9,aplig,LATIN SMALL LIGATURE AP,MUFI: 3.0
EFAA,arlig,LATIN SMALL LIGATURE AR,MUFI: 3.0
EFAB,arscaplig,LATIN SMALL LIGATURE A SMALL CAPITAL R,MUFI: 3.0
EFAC,athornlig,LATIN SMALL LIGATURE A THORN,MUFI: 3.0
EFAD,oclig,LATIN SMALL LIGATURE OC,MUFI: 3.0
EFAE,AnecklessElig,LATIN CAPITAL LIGATURE NECKLESS A E,MUFI: 3.0
EFD8,uuligdblac,LATIN SMALL LIGATURE UU WITH DOUBLE ACUTE,MUFI: 4.0 auto
EFD9,UUligdblac,LATIN CAPITAL LIGATURE UU WITH DOUBLE ACUTE ,MUFI: 4.0 auto
EFDB,AEligdotacute,LATIN CAPITAL LETTER AE WITH DOT ABOVE AND ACUTE,MUFI: 4.0 auto
EFDC,aeligdotacute,LATIN SMALL LETTER AE WITH DOT ABOVE AND ACUTE,MUFI: 4.0 auto
EFDD,oeligenl,LATIN ENLARGED LETTER SMALL LIGATURE OE,MUFI: 3.0
EFDE,aoligenl,LATIN ENLARGED LETTER SMALL LIGATURE AO,MUFI: 3.0
EFDF,aaligenl,LATIN ENLARGED LETTER SMALL LIGATURE AA,MUFI: 3.0
EFE0,AAligacute,LATIN CAPITAL LIGATURE AA WITH ACUTE,MUFI: 3.0
EFE1,aaligacute,LATIN SMALL LIGATURE AA WITH ACUTE,MUFI: 3.0
EFE2,AOligacute,LATIN CAPITAL LIGATURE AO WITH ACUTE,MUFI: 3.0
EFE3,aoligacute,LATIN SMALL LIGATURE AO WITH ACUTE,MUFI: 3.0
EFE4,AUligacute,LATIN CAPITAL LIGATURE AU WITH ACUTE,MUFI: 3.0
EFE5,auligacute,LATIN SMALL LIGATURE AU WITH ACUTE,MUFI: 3.0
EFE6,AVligacute,LATIN CAPITAL LIGATURE AV WITH ACUTE,MUFI: 3.0
EFE7,avligacute,LATIN SMALL LIGATURE AV WITH ACUTE,MUFI: 3.0
EFE8,OOligacute,LATIN CAPITAL LIGATURE OO WITH ACUTE,MUFI: 3.0
EFE9,ooligacute,LATIN SMALL LIGATURE OO WITH ACUTE,MUFI: 3.0
EFEA,AAligdblac,LATIN CAPITAL LIGATURE AA WITH DOUBLE ACUTE,MUFI: 3.0
EFEB,aaligdblac,LATIN SMALL LIGATURE AA WITH DOUBLE ACUTE,MUFI: 3.0
EFEC,OOligdblac,LATIN CAPITAL LIGATURE OO WITH DOUBLE ACUTE,MUFI: 3.0
EFED,ooligdblac,LATIN SMALL LIGATURE OO WITH DOUBLE ACUTE,MUFI: 3.0
EFEE,AAligdot,LATIN CAPITAL LIGATURE AA WITH DOT ABOVE,MUFI: 3.0
EFEF,aaligdot,LATIN SMALL LIGATURE AA WITH DOT ABOVE,MUFI: 3.0
EFF0,AYligdot,LATIN CAPITAL LIGATURE AY WITH DOT ABOVE,MUFI: 3.0
EFF1,ayligdot,LATIN SMALL LIGATURE AY WITH DOT ABOVE,MUFI: 3.0
EFF2,AAligdotbl,LATIN CAPITAL LIGATURE AA WITH DOT BELOW,MUFI: 3.0
EFF3,aaligdotbl,LATIN SMALL LIGATURE AA WITH DOT BELOW,MUFI: 3.0
EFF4,AOligdotbl,LATIN CAPITAL LIGATURE AO WITH DOT BELOW,MUFI: 3.0
EFF5,aoligdotbl,LATIN SMALL LIGATURE AO WITH DOT BELOW,MUFI: 3.0
EFF6,AUligdotbl,LATIN CAPITAL LIGATURE AU WITH DOT BELOW,MUFI: 3.0
EFF7,auligdotbl,LATIN SMALL LIGATURE AU WITH DOT BELOW,MUFI: 3.0
EFF8,AVligdotbl,LATIN CAPITAL LIGATURE AV WITH DOT BELOW,MUFI: 3.0
EFF9,avligdotbl,LATIN SMALL LIGATURE AV WITH DOT BELOW,MUFI: 3.0
EFFA,AYligdotbl,LATIN CAPITAL LIGATURE AY WITH DOT BELOW,MUFI: 3.0
EFFB,ayligdotbl,LATIN SMALL LIGATURE AY WITH DOT BELOW,MUFI: 3.0
EFFC,OOligdotbl,LATIN CAPITAL LIGATURE OO WITH DOT BELOW,MUFI: 3.0
EFFD,ooligdotbl,LATIN SMALL LIGATURE OO WITH DOT BELOW,MUFI: 3.0
EFFE,AAliguml,LATIN CAPITAL LIGATURE AA WITH DIAERESIS,MUFI: 3.0
EFFF,aaliguml,LATIN SMALL LIGATURE AA WITH DIAERESIS,MUFI: 3.0
F00A,macrhigh,COMBINING HIGH MACRON WITH FIXED HEIGHT (PART-WIDTH),MUFI: 3.0
F00B,macrmed,COMBINING MEDIUM-HIGH MACRON WITH FIXED HEIGHT (PART-WIDTH),MUFI: 3.0
F00C,ovlhigh,COMBINING HIGH OVERLINE WITH FIXED HEIGHT (FULL-WIDTH),MUFI: 3.0
F00D,ovlmed,COMBINING MEDIUM-HIGH OVERLINE WITH FIXED HEIGHT (FULL-WIDTH),MUFI: 3.0
F012,bsup,COMBINING LATIN SMALL LETTER B,MUFI: 3.0
F013,bscapsup,COMBINING LATIN LETTER SMALL CAPITAL B,MUFI: 3.0
F016,dscapsup,COMBINING LATIN LETTER SMALL CAPITAL D,MUFI: 3.0
F017,fsup,COMBINING LATIN SMALL LETTER F,MUFI: 3.0
F01C,kscapsup,COMBINING LATIN LETTER SMALL CAPITAL K,MUFI: 3.0
F025,psup,COMBINING LATIN SMALL LETTER P,MUFI: 3.0
F02A,tscapsup,COMBINING LATIN LETTER SMALL CAPITAL T,MUFI: 3.0
F02B,ysup,COMBINING LATIN SMALL LETTER Y,MUFI: 3.0
F02F,inodotsup,COMBINING LATIN SMALL LETTER DOTLESS I,MUFI: 3.0
F030,jsup,COMBINING LATIN SMALL LETTER J,MUFI: 3.0
F031,jnodotsup,COMBINING LATIN SMALL LETTER DOTLESS J,MUFI: 3.0
F032,oslashsup,COMBINING LATIN LETTER SMALL O WITH STROKE,MUFI: 3.0
F033,qsup,COMBINING LATIN SMALL LETTER Q,MUFI: 3.0
F036,anligsup,COMBINING LATIN SMALL LIGATURE AN,MUFI: 3.0
F038,arligsup,COMBINING LATIN SMALL LIGATURE AR,MUFI: 3.0
F03A,anscapligsup,COMBINING LATIN SMALL LIGATURE A SMALL CAPITAL N,MUFI: 3.0
F03B,trotsup,COMBINING LATIN LETTER T ROTUNDA,MUFI: 3.0
F03C,wsup,COMBINING LATIN SMALL LETTER W,MUFI: 3.0
F03D,thornsup,COMBINING LATIN SMALL LETTER THORN,MUFI: 3.0
F03E,orrotsup,COMBINING LATIN SMALL LETTER O R ROTUNDA,MUFI: 3.0
F03F,orumsup,COMBINING LATIN SMALL LETTER O RUM,MUFI: 3.0
F040,rumsup,COMBINING LATIN SMALL LETTER RUM,MUFI: 3.0
F106,Csqu,LATIN CAPITAL LETTER C SQUARE FORM,MUFI: 3.0
F10A,Eunc,LATIN CAPITAL LETTER E UNCIAL FORM,MUFI: 3.0
F10E,Gsqu,LATIN CAPITAL LETTER G SQUARE FORM,MUFI: 3.0
F110,Hunc,LATIN CAPITAL LETTER UNCIAL H,MUFI: 3.0
F11A,Munc,LATIN CAPITAL LETTER UNCIAL M,MUFI: 3.0
F126,Sclose,LATIN CAPITAL LETTER S CLOSED FORM,MUFI: 3.0
F127,slongdes,LATIN SMALL LETTER LONG S DESCENDING,MUFI: 3.0
F128,sclose,LATIN SMALL LETTER S CLOSED FORM,MUFI: 3.0
F130,arscapligsup,COMBINING LATIN SMALL LIGATURE A SMALL CAPITAL R,MUFI: 3.0
F135,eogonsup,COMBINING LATIN SMALL LETTER E WITH OGONEK,MUFI: 3.0
F136,emacrsup,COMBINING LATIN SMALL LETTER E WITH MACRON,MUFI: 3.0
F13A,Asqu,LATIN CAPITAL LETTER A SQUARE FORM,MUFI: 3.0
F13E,oogonsup,COMBINING LATIN SMALL LETTER O WITH OGONEK,MUFI: 3.0
F13F,omacrsup,COMBINING LATIN SMALL LETTER O WITH MACRON,MUFI: 3.0
F142,ET,LATIN ABBREVIATION SIGN CAPITAL ET,MUFI: 3.0
F149,thornbarslash,LATIN SMALL LETTER THORN WITH DIAGONAL STROKE,MUFI: 3.0
F153,urrot,COMBINING ABBREVIATION MARK SUPERSCRIPT UR ROUND R FORM,MUFI: 3.0
F158,etslash,LATIN ABBREVIATION SIGN SMALL ET WITH STROKE,MUFI: 3.0
F159,de,LATIN ABBREVIATION SIGN SMALL DE,MUFI: 3.0
F160,punctinter,PUNCTUS INTERROGATIVUS,MUFI: 3.0
F161,punctelev,PUNCTUS ELEVATUS,MUFI: 3.0
F193,dcurl,LATIN SMALL LETTER D WITH CURL,MUFI: 3.0
F194,fcurl,LATIN SMALL LETTER F WITH CURL,MUFI: 3.0
F195,kcurl,LATIN SMALL LETTER K WITH CURL,MUFI: 3.0
F196,gcurl,LATIN SMALL LETTER G WITH CURL,MUFI: 3.0
F198,ccurl,LATIN SMALL LETTER C WITH CURL,MUFI: 3.0
F199,tcurl,LATIN SMALL LETTER T WITH CURL,MUFI: 3.0
F19A,nflour,LATIN SMALL LETTER N WITH FLOURISH,MUFI: 3.0
F19B,rflour,LATIN SMALL LETTER R WITH FLOURISH,MUFI: 3.0
F1A5,USbase,LATIN ABBREVIATION SIGN SPACING BASE-LINE CAPITAL US,MUFI: 3.0
F1A6,usbase,LATIN ABBREVIATION SIGN SPACING BASE-LINE US,MUFI: 3.0
F1A7,ETslash,LATIN ABBREVIATION SIGN CAPITAL ET WITH STROKE,MUFI: 3.0
F1AC,sem,LATIN ABBREVIATION SIGN SEMICOLON,MUFI: 3.0
F1BB,chlig,LATIN SMALL LIGATURE CH,MUFI: 4.0 auto
F1BC,foumllig,LATIN SMALL LIGATURE F O WITH DIAERESIS,MUFI: 3.0
F1BD,smallzero,SMALL BASE LINE ZERO SIGN,MUFI: 3.0
F1BE,Vmod,MODIFIER CAPITAL LETTER V,MUFI: 3.0
F1BF,Xmod,MODIFIER CAPITAL LETTER X,MUFI: 3.0
F1C0,arbar,COMBINING ABBREVIATION MARK BAR ABOVE WITH DOT,MUFI: 3.0
F1C1,rabar,COMBINING ABBREVIATION MARK SUPERSCRIPT RA OPEN A FORM WITH BAR ABOVE,MUFI: 3.0
F1C2,urlemn,COMBINING ABBREVIATION MARK SUPERSCRIPT UR LEMNISKATE FORM,MUFI: 3.0
F1C5,combcurlhigh,COMBINING CURL HIGH POSITION,MUFI: 3.0
F1C7,erang,COMBINING ABBREVIATION MARK ZIGZAG ABOVE ANGLE FORM,MUFI: 3.0
F1C8,ercurl,COMBINING ABBREVIATION MARK ZIGZAG ABOVE CURLY FORM,MUFI: 3.0
F1CA,combdothigh,COMBINING DOT ABOVE HIGH POSITION,MUFI: 3.0
F1CC,combcurlbar,COMBINING CURLY BAR ABOVE,MUFI: 3.0
F1D2,tridagger,TRIPLE DAGGER,MUFI: 4.0 auto
F1DA,midring,MIDDLE RING,MUFI: 3.0
F1DB,ramus,PALM BRANCH,MUFI: 3.0
F1E0,medcom,MEDIEVAL COMMA,MUFI: 3.0
F1E1,parag,PARAGRAPHUS,MUFI: 3.0
F1E2,posit,COMMA POSITURA,MUFI: 3.0
F1E3,ductsimpl,HIGH COMMA POSITURA (SIMPLEX DUCTUS),MUFI: 3.0
F1E4,punctposit,PUNCTUS WITH COMMA POSITURA,MUFI: 3.0
F1E5,colmidcomposit,COLON WITH MIDDLE COMMA POSITURA,MUFI: 3.0
