codepoint,entity,name,versions
F2F4,obol,PHARMACEUTICAL OBOLUS SIGN,MUFI: 3.0
F2F5,penningar,PENNING SIGN,MUFI: 3.0
F2F6,reichtalold,OLD REICHSTALER SIGN,MUFI: 3.0
F2F7,schillgerm,GERMAN SCHILLING SIGN,MUFI: 3.0
F2F8,schillgermscript,GERMAN SCRIPT SCHILLING SIGN,MUFI: 3.0
F2F9,scudi,SCUDI SIGN,MUFI: 3.0
F2FA,krone,KRONE SIGN,MUFI: 4.0 auto
F2FB,helbing,HELBING SIGN,MUFI: 4.0 auto
F2FD,ouncescript,SCRIPT OUNCE SIGN,MUFI: 3.0
F2FE,Cnumbar,ROMAN NUMERAL CAPITAL C WITH TWO BARS,MUFI: 4.0 auto
F2FF,cnumbar,ROMAN NUMERAL SMALL C WITH TWO BARS,MUFI: 4.0 auto
F4F9,lllig,LATIN SMALL LIGATURE LL,MUFI: 3.0
F4FA,slongchlig,LATIN SMALL LIGATURE LONG S CH,MUFI: 3.0
F4FB,slongjlig,LATIN SMALL LIGATURE LONG S J,MUFI: 3.0
F4FC,slongklig,LATIN SMALL LIGATURE LONG S K,MUFI: 3.0
F4FD,slongslig,LATIN SMALL LIGATURE LONG S S,MUFI: 3.0
F4FE,slongslongklig,LATIN SMALL LIGATURE LONG S LONG S K,MUFI: 3.0
F4FF,slongslongtlig,LATIN SMALL LIGATURE LONG S LONG S T,MUFI: 3.0
F700,metrmacr,METRICAL SYMBOL LONGUM,MUFI: 3.0
F701,metrbreve,METRICAL SYMBOL BREVE,MUFI: 3.0
F702,metrmacrbreve,METRICAL SYMBOL BREVE ABOVE LONGUM (SHORT OR LONG SYLLABLE),MUFI: 3.0
F703,metrbrevemacr,METRICAL SYMBOL LONGUM ABOVE BREVE (SHORT OR LONG SYLLABLE),MUFI: 3.0
F704,metrmacracute,METRICAL SYMBOL LONGUM WITH ACUTE (PRIMARY STRESS),MUFI: 3.0
F705,metrmacrgrave,METRICAL SYMBOL LONGUM WITH GRAVE (SECONDARY STRESS),MUFI: 3.0
F706,metrbreveacute,METRICAL SYMBOL BREVE WITH ACUTE (PRIMARY STRESS),MUFI: 3.0
F707,metrbrevegrave,METRICAL SYMBOL BREVE WITH GRAVE (SECONDARY STRESS),MUFI: 3.0
F708,metrmacrbreveacute,METRICAL SYMBOL BREVE ABOVE LONGUM WITH ACUTE (SHORT OR LONG SYLLABLE WITH PRIMARY STRESS),MUFI: 3.0
F709,metrmacrbrevegrave,METRICAL SYMBOL BREVE ABOVE LONGUM WITH GRAVE (SHORT OR LONG SYLLABLE WITH SECONDARY STRESS),MUFI: 3.0
F70A,metranc,METRICAL SYMBOL ANCEPS,MUFI: 3.0
F70B,metrancacute,METRICAL SYMBOL ANCEPS WITH ACUTE (PRIMARY STRESS),MUFI: 3.0
F70C,metrancgrave,METRICAL SYMBOL ANCEPS WITH GRAVE (SECONDARY STRESS),MUFI: 3.0
F714,metrpause,METRICAL SYMBOL PAUSE,MUFI: 3.0
F715,metrmacrdblac,METRICAL SYMBOL LONGUM WITH DOUBLE ACUTE (SECONDARY STRESS),MUFI: 3.0
F716,metrmacrdblgrave,METRICAL SYMBOL LONGUM WITH DOUBLE GRAVE (SECONDARY STRESS AND ALLITERATION),MUFI: 3.0
F717,metrbrevedblac,METRICAL SYMBOL BREVE WITH DOUBLE ACUTE (PRIMARY STRESS AND ALLITERATION),MUFI: 3.0
F718,metrbrevedblgrave,METRICAL SYMBOL BREVE WITH DOUBLE GRAVE (SECONDARY STRESS AND ALLITERATION),MUFI: 3.0
F719,metrancdblac,METRICAL SYMBOL ANCEPS WITH DOUBLE ACUTE (PRIMARY STRESS AND ALLITERATION),MUFI: 3.0
F71A,metrancdblgrave,METRICAL SYMBOL ANCEPS WITH DOUBLE GRAVE (SECONDARY STRESS AND ALLITERATION),MUFI: 3.0
F71B,metrdblbrevemacracute,METRICAL SYMBOL RESOLVED LIFT WITH ACUTE (PRIMARY STRESS),MUFI: 3.0
F71C,metrdblbrevemacrdblac,METRICAL SYMBOL RESOLVED LIFT WITH DOUBLE ACUTE (PRIMARY STRESS AND ALLITERATION),MUFI: 3.0
F72E,metrdblbrevemacr,METRICAL SYMBOL RESOLVED LIFT,MUFI: 3.0
F7B2,Vovlhigh,LATIN CAPITAL LETTER V WITH HIGH OVERLINE (ABOVE CHARACTER),MUFI: 3.0
F7B3,Xovlhigh,LATIN CAPITAL LETTER X WITH HIGH OVERLINE (ABOVE CHARACTER),MUFI: 3.0
F7B4,Lovlhigh,LATIN CAPITAL LETTER L WITH HIGH OVERLINE (ABOVE CHARACTER),MUFI: 3.0
F7B5,Covlhigh,LATIN CAPITAL LETTER C WITH HIGH OVERLINE (ABOVE CHARACTER),MUFI: 3.0
F7B6,Dovlhigh,LATIN CAPITAL LETTER D WITH HIGH OVERLINE (ABOVE CHARACTER),MUFI: 3.0
